code,domain,description,mandatory,weight,status,quality,weighted_score,critical,criticality,notes
C1,clinical,Phase III RCT versus appropriate comparator,True,1.0,available,0.95,0.95,False,OK,Phase III APEX trial vs SOC — fully powered pre-specified endpoints
C2,clinical,Overall survival data (mature),True,0.95,partial,0.7,0.332,True,CRITICAL,OS data immature at data cut. PFS data mature and significant.
C3,clinical,Health-related QoL measured with EQ-5D,True,0.9,available,0.9,0.81,False,OK,EQ-5D-5L collected at all timepoints. Mapped to 3L for UK tariff.
C4,clinical,Subgroup analyses by line of therapy,False,0.7,available,0.85,0.595,False,OK,Pre-specified subgroup analyses by line of therapy available in CSR.
C5,clinical,Indirect treatment comparison (NMA) if no head-to-head,False,0.75,partial,0.6,0.225,False,OK,NMA in progress. Two indirect treatment nodes missing.
C6,clinical,Long-term extension study data,False,0.65,unavailable,0.0,0.0,False,SUPPORTIVE GAP,Long-term extension study not yet initiated.
E1,economic,Cost-effectiveness model with ICER vs NICE threshold,True,1.0,available,0.88,0.88,False,OK,UK cost-effectiveness model complete. Base case ICER GBP 24500 per QALY.
E2,economic,Budget impact model from NHS perspective,True,0.9,available,0.85,0.765,False,OK,NHS budget impact model at 5-year horizon complete. Validated by health economist.
E3,economic,Probabilistic sensitivity analysis (PSA),True,0.85,available,0.9,0.765,False,OK,PSA with 10000 iterations complete. 95th percentile ICER GBP 31200 per QALY.
E4,economic,Utility values using EQ-5D UK tariff,True,0.9,available,0.92,0.828,False,OK,EQ-5D UK tariff values applied throughout model.
E5,economic,Productivity loss and indirect costs,False,0.5,unavailable,0.0,0.0,False,SUPPORTIVE GAP,Productivity loss not modelled. Excluded from base case.
R1,rwe,UK-specific epidemiology data,False,0.7,partial,0.55,0.193,False,OK,SACT database analysis planned. UK Biobank linkage in scoping phase.
R2,rwe,Real-world comparator outcomes,False,0.75,unavailable,0.0,0.0,False,SUPPORTIVE GAP,Real-world comparator outcomes study not started.
EP1,epidemiological,Disease prevalence and incidence in UK,True,0.8,available,0.9,0.72,False,OK,CRUK incidence and prevalence data. Cancer Research UK 2024 statistics.
EP2,epidemiological,Unmet need documentation,True,0.85,available,0.95,0.807,False,OK,Unmet need documented from NICE scope letter.
