code,domain,description,mandatory,weight,status,quality,weighted_score,critical,criticality,notes
C1,clinical,Phase III RCT versus SMR-relevant comparator,True,1.0,available,0.95,0.95,False,OK,Phase III APEX trial vs SOC — fully powered pre-specified endpoints
C2,clinical,ASMR claim supported by clinical endpoint data,True,0.95,partial,0.7,0.332,True,CRITICAL,OS data immature at data cut. PFS data mature and significant.
C3,clinical,Overall survival and progression-free survival data,True,0.9,available,0.9,0.81,False,OK,EQ-5D-5L collected at all timepoints. Mapped to 3L for UK tariff.
C4,clinical,QoL data using French validated instruments,True,0.8,available,0.85,0.68,False,OK,Pre-specified subgroup analyses by line of therapy available in CSR.
C5,clinical,Direct or adjusted indirect comparisons,False,0.75,partial,0.6,0.225,False,OK,NMA in progress. Two indirect treatment nodes missing.
E1,economic,ICER model — optional but strengthens CEPS negotiation,False,0.7,available,0.88,0.616,False,OK,UK cost-effectiveness model complete. Base case ICER GBP 24500 per QALY.
E2,economic,Budget impact from Assurance Maladie perspective,False,0.75,available,0.85,0.637,False,OK,NHS budget impact model at 5-year horizon complete. Validated by health economist.
EP1,epidemiological,French epidemiology — incidence and prevalence,True,0.85,available,0.9,0.765,False,OK,CRUK incidence and prevalence data. Cancer Research UK 2024 statistics.
R1,rwe,French registry or claims data,False,0.65,partial,0.55,0.179,False,OK,SACT database analysis planned. UK Biobank linkage in scoping phase.
R2,rwe,Real-world effectiveness data post-approval,False,0.6,unavailable,0.0,0.0,False,SUPPORTIVE GAP,Real-world comparator outcomes study not started.
